014E00,01500B,01613F	014E00,01500B,019858
014E0D,018981,0191C7	014E0D,018981,0163A1
014E4B,01540E	014E4B,015F8C
014E91,016CB3	0196F2,016CB3
014EC0,014E48	014EC0,019EBC
014EE5,01540E	014EE5,015F8C
014F46,01613F	014F46,019858
015165,01591C	015165,01591C
0151E0,01591A	015E7E,01591A
0151E0,015EA6	015E7E,015EA6
015206,01949F	015206,019418
0153D1,01653E	01767C,01653E
0153D1,0171D2	01767C,0171D2
0153D1,01734E,0191D1	01767C,01734E,0191D1
0153D1,0173FE	01767C,0173FE
0153D1,019001	01767C,019001
01540E,015929	015F8C,015929
01540E,016094	015F8C,016094
01591A,014E48	01591A,019EBC
01591C,014E4B,01540E	01591C,014E4B,01540E
015C6C,014E8E	015C6C,0165BC
015F69,014E91	015F69,0196F2
015F81,015A5A	015FB5,015A5A
015F81,016C42	015FB5,016C42
01600E,014E48	01600E,019EBC
01613F,01541B	019858,01541B
016642,01949F	016642,019418
016700,01540E	016700,015F8C
016A4B,016881	016A4B,016A11
016A6B,016881	016A6B,016A11
0179D2,01949F	0179D2,019418
01820D,015F97	016368,015F97
018868,015F81	018868,015FB5
018C61,015F81	018C61,015FB5
019019,014E48	019019,019EBC
019019,0191CC	019019,0188E1
0190A3,014E48	0190A3,019EBC
0190A3,0191CC	0190A3,0188E1
0191C7,016AB3,016994	0163A1,016AB3,016994
0191CC,019762	0188E1,019762
01949F,01611B	01937E,01611B
01982D,0153D1	01982D,019AEE
